Rank,Name,AppID,Rating,Price,Release Date,Followers,Reviews,Peak Players
88,The Test: Secrets of the Soul,2231890,92.53,,20 Feb,382,1558,16
89,Cattails: Wildwood Story,1882500,92.52,,20 Oct,10803,1847,1143
90,The Talos Principle 2,835960,92.50,,02 Nov,30012,13034,7258
91,Deep Rock Galactic - Supporter II Upgrade,2291670,92.47,,02 Mar,,,1120
92,Resident Evil 4 - Separate Ways,2109300,92.45,,21 Sep,,,8202
93,PARANORMASIGHT: The Seven Mysteries of Honjo,2106840,92.42,,08 Mar,14666,6781,723
94,Submachine: Legacy,1564790,92.42,,13 Oct,4767,1413,523
95,Travellin Cats in Maple Hollow 🍂,2551170,92.39,,15 Nov,510,1248,56
96,Bing in Wonderland,1710100,92.35,,13 Jan,5541,2146,977
97,Cobalt Core,2179850,92.32,,08 Nov,12509,4205,1683
98,(the) Gnorp Apologue,1473350,92.31,,14 Dec,12585,9647,5423
99,Long Dream,2088030,92.31,,11 Apr,1363,986,66
100,Hira Hira Hihiru,2314820,92.27,,16 Nov,3065,893,212
